[2023/03/31 01:21:15] - Namespace(alpha=8, batch_m=0.75, batch_size=128, data_dir='../data/tiny-imagenet-200', delta_init='random', epochs=110, epsilon=8, inner_gamma=0.05, lamda=0.025, log='TDAT.log', lr_max=0.1, lr_min=0.0, lr_schedule='multistep', milestone1=100, milestone2=105, model='ResNet18', momentum=0.9, momentum_decay=0.3, out_dir='TDAT', outer_factor=0.05, save_epoch=99, seed=0, weight_decay=0.0005)
[2023/03/31 01:21:21] - Epoch 	 Seconds 	 LR 	 Inner Loss 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2023/03/31 05:15:23] - 38 	 259.1 	 	 0.1000 	 4.5527 	 	 4.7837 	 0.2788 	 3.5086 	 	 0.3543 	 3.8175 	 0.1730
[2023/03/31 05:21:22] - 39 	 258.8 	 	 0.1000 	 4.5740 	 	 4.7985 	 0.2797 	 3.5642 	 	 0.3463 	 3.8530 	 0.1633
[2023/03/31 05:27:21] - 40 	 258.5 	 	 0.1000 	 4.5941 	 	 4.8123 	 0.2789 	 3.5605 	 	 0.3555 	 3.8702 	 0.1625
[2023/03/31 05:33:21] - 41 	 258.7 	 	 0.1000 	 4.6130 	 	 4.8254 	 0.2803 	 3.5371 	 	 0.3537 	 3.8491 	 0.1616
[2023/03/31 05:39:20] - 42 	 258.5 	 	 0.1000 	 4.6327 	 	 4.8393 	 0.2822 	 3.5168 	 	 0.3602 	 3.8344 	 0.1719
[2023/03/31 05:45:20] - 43 	 259.2 	 	 0.1000 	 4.6510 	 	 4.8515 	 0.2812 	 3.5465 	 	 0.3580 	 3.8619 	 0.1684
[2023/03/31 05:51:20] - 44 	 258.9 	 	 0.1000 	 4.6697 	 	 4.8649 	 0.2808 	 3.5824 	 	 0.3500 	 3.8907 	 0.1651
[2023/03/31 05:57:19] - 45 	 258.5 	 	 0.1000 	 4.6874 	 	 4.8770 	 0.2817 	 3.6107 	 	 0.3562 	 3.9214 	 0.1665
[2023/03/31 06:03:19] - 46 	 258.6 	 	 0.1000 	 4.7050 	 	 4.8892 	 0.2837 	 3.6164 	 	 0.3587 	 3.9396 	 0.1696
[2023/03/31 06:09:18] - 47 	 258.6 	 	 0.1000 	 4.7231 	 	 4.9020 	 0.2827 	 3.5863 	 	 0.3608 	 3.9208 	 0.1656
[2023/03/31 06:15:19] - 48 	 259.3 	 	 0.1000 	 4.7393 	 	 4.9130 	 0.2841 	 3.6512 	 	 0.3515 	 3.9640 	 0.1586
[2023/03/31 06:21:19] - 49 	 258.9 	 	 0.1000 	 4.7560 	 	 4.9250 	 0.2840 	 3.6759 	 	 0.3626 	 3.9894 	 0.1748
[2023/03/31 06:27:18] - 50 	 258.5 	 	 0.1000 	 4.7728 	 	 4.9362 	 0.2830 	 3.6318 	 	 0.3554 	 3.9446 	 0.1611
[2023/03/31 06:33:18] - 51 	 258.7 	 	 0.1000 	 4.7882 	 	 4.9466 	 0.2863 	 3.7065 	 	 0.3552 	 4.0153 	 0.1725
[2023/03/31 06:39:18] - 52 	 258.6 	 	 0.1000 	 4.8046 	 	 4.9582 	 0.2849 	 3.7377 	 	 0.3552 	 4.0579 	 0.1642
[2023/03/31 06:45:18] - 53 	 259.1 	 	 0.1000 	 4.8195 	 	 4.9684 	 0.2861 	 3.7096 	 	 0.3537 	 4.0251 	 0.1641
[2023/03/31 06:51:17] - 54 	 259.0 	 	 0.1000 	 4.8344 	 	 4.9787 	 0.2873 	 3.7164 	 	 0.3450 	 4.0228 	 0.1659
[2023/03/31 06:57:17] - 55 	 258.3 	 	 0.1000 	 4.8496 	 	 4.9892 	 0.2863 	 3.7806 	 	 0.3610 	 4.1011 	 0.1745
[2023/03/31 07:03:16] - 56 	 258.6 	 	 0.1000 	 4.8641 	 	 4.9994 	 0.2870 	 3.7668 	 	 0.3490 	 4.0756 	 0.1655
[2023/03/31 07:09:15] - 57 	 258.5 	 	 0.1000 	 4.8782 	 	 5.0089 	 0.2878 	 3.7119 	 	 0.3579 	 4.0335 	 0.1723
[2023/03/31 07:15:16] - 58 	 259.2 	 	 0.1000 	 4.8920 	 	 5.0185 	 0.2875 	 3.7830 	 	 0.3512 	 4.0882 	 0.1670
[2023/03/31 07:21:16] - 59 	 259.2 	 	 0.1000 	 4.9060 	 	 5.0279 	 0.2892 	 3.8182 	 	 0.3664 	 4.1282 	 0.1800
[2023/03/31 07:27:15] - 60 	 258.5 	 	 0.1000 	 4.9194 	 	 5.0373 	 0.2871 	 3.8192 	 	 0.3547 	 4.1249 	 0.1729
[2023/03/31 07:33:15] - 61 	 259.0 	 	 0.1000 	 4.9328 	 	 5.0464 	 0.2891 	 3.8404 	 	 0.3618 	 4.1500 	 0.1793
[2023/03/31 07:39:15] - 62 	 258.9 	 	 0.1000 	 4.9453 	 	 5.0550 	 0.2905 	 3.7676 	 	 0.3643 	 4.0881 	 0.1801
[2023/03/31 07:45:14] - 63 	 258.5 	 	 0.1000 	 4.9584 	 	 5.0640 	 0.2886 	 3.8664 	 	 0.3484 	 4.1701 	 0.1729
[2023/03/31 07:51:14] - 64 	 258.5 	 	 0.1000 	 4.9710 	 	 5.0725 	 0.2899 	 3.8634 	 	 0.3500 	 4.1654 	 0.1722
[2023/03/31 07:57:14] - 65 	 259.0 	 	 0.1000 	 4.9836 	 	 5.0813 	 0.2901 	 3.8414 	 	 0.3487 	 4.1427 	 0.1706
[2023/03/31 08:03:13] - 66 	 258.9 	 	 0.1000 	 4.9949 	 	 5.0888 	 0.2917 	 3.8539 	 	 0.3723 	 4.1768 	 0.1760
[2023/03/31 08:09:13] - 67 	 258.6 	 	 0.1000 	 5.0062 	 	 5.0964 	 0.2921 	 3.9198 	 	 0.3617 	 4.2290 	 0.1719
[2023/03/31 08:15:12] - 68 	 258.5 	 	 0.1000 	 5.0189 	 	 5.1053 	 0.2913 	 3.9253 	 	 0.3557 	 4.2225 	 0.1729
[2023/03/31 08:21:11] - 69 	 258.4 	 	 0.1000 	 5.0299 	 	 5.1129 	 0.2917 	 3.9653 	 	 0.3580 	 4.2570 	 0.1779
