[2023/03/30 06:17:15] - Namespace(alpha=8, batch_m=0.75, batch_size=128, data_dir='../data', delta_init='random', epochs=110, epsilon=8, inner_gamma=0.15 lamda=0.6, log='TDAT.log', lr_max=0.1, lr_min=0.0, lr_schedule='multistep', milestone1=100, milestone2=105, model='ResNet18', momentum=0.9, out_dir='TDAT', outer_gamma=0.15, save_epoch=104, seed=0, weight_decay=0.0005)
[2023/03/30 06:17:17] - Epoch 	 Seconds 	 LR 	 Inner Loss 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2023/03/30 08:37:38] - 67 	 73.4 	 	 0.1000 	 2.2530 	 	 2.2338 	 0.5817 	 1.7278 	 	 0.7053 	 1.8712 	 0.4668
[2023/03/30 08:39:47] - 68 	 75.3 	 	 0.1000 	 2.2569 	 	 2.2367 	 0.5845 	 1.7434 	 	 0.7454 	 1.8805 	 0.4812
[2023/03/30 08:41:56] - 69 	 78.8 	 	 0.1000 	 2.2608 	 	 2.2400 	 0.5843 	 1.7598 	 	 0.7236 	 1.8943 	 0.4606
[2023/03/30 08:44:02] - 70 	 73.7 	 	 0.1000 	 2.2644 	 	 2.2429 	 0.5849 	 1.7723 	 	 0.7330 	 1.9026 	 0.4844
[2023/03/30 08:46:10] - 71 	 75.2 	 	 0.1000 	 2.2679 	 	 2.2455 	 0.5861 	 1.7921 	 	 0.7494 	 1.9205 	 0.4977
[2023/03/30 08:48:17] - 72 	 75.9 	 	 0.1000 	 2.2712 	 	 2.2481 	 0.5876 	 1.8038 	 	 0.7104 	 1.9290 	 0.4668
[2023/03/30 08:50:03] - 73 	 64.9 	 	 0.1000 	 2.2746 	 	 2.2509 	 0.5868 	 1.7903 	 	 0.7335 	 1.9201 	 0.4701
[2023/03/30 08:51:53] - 74 	 56.3 	 	 0.1000 	 2.2777 	 	 2.2532 	 0.5913 	 1.8163 	 	 0.7152 	 1.9356 	 0.4678
[2023/03/30 08:54:01] - 75 	 77.3 	 	 0.1000 	 2.2807 	 	 2.2550 	 0.5935 	 1.7995 	 	 0.7383 	 1.9326 	 0.4671
[2023/03/30 08:56:06] - 76 	 72.0 	 	 0.1000 	 2.2836 	 	 2.2577 	 0.5935 	 1.8325 	 	 0.7492 	 1.9519 	 0.4879
